,Class,Component_0,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49
Class Mean,0,0.31718403824510744,-0.15627444445849303,-0.1953019381588229,0.18378810117026642,0.048134611153546815,-0.12514754712546328,-0.1250570843543282,0.05925846877788933,-0.029645465399228008,-0.09625665054297437,0.08708625214340335,-0.060157574726541846,-0.05478103984433175,0.006492739489084578,-0.015684264452740976,-0.1795937752996432,0.11356599543528205,-0.010522758853679351,0.005498113332142666,-0.008028497372444595,0.039404996858790224,-0.006089983294408394,0.01868505742756572,-0.02402264209353835,-0.02750187591361024,0.017786351605392495,0.058267996162410296,0.10075385424628597,0.02360523330106166,0.06116961566154547,-0.06079298659391004,0.05848153777344008,-0.017386913082150374,-0.08375219513757592,-0.004968525301853872,-0.037301772035020754,0.03761504463743357,-0.04866691812772716,-0.014032683047955338,0.06716145373155392,-0.018027467019300848,-0.07587959886329954,-0.00010920395798544972,-0.01671838892293537,0.002151833399937955,-0.02325097467455697,0.0034097634833195624,-0.0028292529548802647,-0.012264324670318748,0.016699622242441304
Class Mean,1,-0.13753726973949082,0.22225421650783247,-0.20740921336784168,-0.2085307898820111,0.07174207287542347,-0.13334623131573062,0.11876810885963376,-0.0013527766815526017,-0.03815388481575894,-0.15106238260112212,-0.06208716449501337,-0.024678899889861095,0.07010142679032678,0.10038784034560638,-0.021332350262290127,-0.08875345010612028,0.04880514517805603,-0.05313461821062634,-0.06821612746619303,0.005597470279677762,0.031972853898977464,-0.0179449634092086,-0.04245342781323122,0.019597667779083026,0.00717153112045557,-0.04595890980023188,0.013038664875653245,0.007990546107277601,0.09714046737944296,-0.039824195643505436,0.04269876271419194,0.0024497863632843737,0.03995904014534461,0.013345034051512444,0.0858175051564532,-0.01780562461949737,0.020611552746790572,-0.05135418097141223,-0.0011544054760910603,0.0398198279769715,0.027359848065733036,-0.0170889924232611,-0.037944687617186175,-0.0005267123591990576,0.00150666199912407,0.04991032059304633,-0.019071025951013953,-0.05949426387862462,0.011264317384093527,-0.05802817339341249
Class Mean,2,-0.01348590269716027,0.012713204659325647,0.007478503257238113,0.061781490314925844,-0.059378687598032616,0.35578062538265703,-0.018648770519913274,-0.17844107543898283,-0.008434849942440984,0.03664654018622685,0.05415678515637708,-0.12687742753701073,0.10099379322059521,0.0016630898378732564,0.12877630447466334,0.1507781140897209,0.003602652149132523,0.09023807186367276,-0.044063120345893575,-0.09528597387373461,-0.12504563498025378,-0.08766437092913422,-0.15043369449166422,0.027098082063538087,-0.048391324035820506,-0.03331893157492135,-0.010526940458036088,-0.020161611111855573,-0.013463002382810013,-0.04415640177754839,-0.0032966086457757817,-0.0002815315453980969,-0.03528892110133727,0.0819263561003091,0.04782849807926888,-0.05300317414745571,-0.04793322890778748,-0.04104936217928988,0.07391452797043323,-0.01839295243836231,0.02968288365597573,0.01684416078311568,0.053721204495107,0.012797617864359592,0.009330278896008296,-0.04369198004486538,0.00034039388052618173,0.025023583899097576,-0.032996571367387685,0.01799241923661104
Class Mean,3,-0.03886526088721174,-0.0008228897187508318,0.15216757896103703,-0.034319026474668606,0.13290277450032872,-0.21467786135462494,0.13483932506656862,0.08399900878567067,-0.09409566753000123,-0.008050041765682765,-0.13145160181134222,0.04117594218240238,-0.13580521387149944,-0.11874542074555734,-0.07081222015078045,-0.07519754987568246,0.09804961340740245,-0.05951236529168035,0.03342887123253641,-0.009001434363109103,0.02016413088846278,0.1443360858984658,0.03724724632949422,-0.011169278148085712,-0.061023727010330577,-0.005856327340261446,-0.011066333692476558,0.022987487681656746,-0.056612799898936396,0.0701922962234825,0.07422324052407889,-0.01349375981596004,-0.04330821585651621,0.0824939999207961,-0.037734070929640845,0.025558822809156913,0.010619114669434536,0.025380818938244086,0.04627850434631324,0.03176165709468058,0.05533892079458633,0.005456829111405224,-0.006921464698203676,-0.09179489144043239,0.003874176055574398,0.017562455162469903,-0.03307814628190436,-0.0029877783631832703,0.10465140427157457,0.0009836343606038972
Class Mean,4,-0.10762690490879627,0.010737198098947024,-0.09524592232325375,0.3262197467174278,0.05793687229488815,0.18093175064035108,-0.016697741584519546,-0.08214430230262161,0.051835932088172346,0.0785830435893924,-0.06585875222836625,-0.08981836117242245,-0.0923680979898325,0.06575442086855994,0.02475725345988651,-0.08030332195521687,-0.04256761610520972,0.022350577833882102,-0.0016710311049169663,0.0011975936403560285,-0.03680779658849866,0.12578050021463746,0.10577833830465228,-0.15427616826444893,-0.06619140537600421,0.08930068059664836,-0.05218155392027575,-0.08367362439506215,-0.13726163230618763,-0.010546238390554123,-0.09358394320296651,-0.02658563257269716,0.046733927251939957,-0.039960328535466445,0.0030426064244965232,0.04822665980288067,-0.0076823431724905794,0.030450973512544006,-0.09246775918659522,-0.10744497583329861,-0.09974414729255082,0.0013064563872051877,0.028724783456208523,-0.009175386101183125,-0.017316532247940414,-0.03610592557453385,0.0037317781322643074,0.05740246098911997,-0.03982303878693707,0.009844220970717635
Class Mean,5,-0.3826825186314494,0.06575991996142821,0.013152820644211409,-0.0024066028889793917,0.05994632473779656,-0.0584027975976887,-0.19922037301601125,-0.14114457211255654,0.024286424357709238,-0.06460552104631541,0.02148399084414172,0.13926418114835257,-0.03474772443210863,-0.10379958642188027,-0.12461729198763596,-0.0066381136607595185,-0.030601329593684234,0.08376653792381815,-0.1680517343781114,0.011552636038639498,-0.027171389331401407,-0.06573862690989397,0.0015488613700500586,0.05426718344151606,0.13716089649248647,0.08844338980432662,-0.1297354494272839,0.006784114003550653,-0.10718952084940814,0.04817453189881654,-0.0833827324242177,-0.02609808143026675,-0.010534095308988493,-0.004598714694387363,-0.07235713724195227,0.07882808020070742,-0.016214529096527888,0.07123786707006531,-0.09948710068018757,-0.004627377293126837,-0.019006994312519742,0.018219031105855325,0.05379453436713138,0.043727473226597854,0.03251261664834808,0.0899789959787383,0.1277520234556437,-0.06161529582650043,0.00806138820576763,0.03520938211748753
Class Mean,6,-0.05162571941430338,-0.0872135250520842,-0.05088752512786379,0.09430790080439877,-0.15700917414861104,0.20405832227305434,0.21538513427247474,0.25057462771206,0.19969315169773372,0.08709196024706271,0.21862252303614216,0.12013401462635875,0.09486014111167053,0.1170516282615112,-0.06815767308022867,0.10773181159219196,0.022122443685197293,0.016318481711273987,0.13338446292022477,-0.08766848487697027,-0.019399640217160213,-0.07674214053256481,0.0442170333996123,0.021699726430029837,-0.03552540458706137,-0.021947526513472808,0.02034438642893811,-0.04557389677877255,-0.03438698973359481,0.013250720215890141,0.0274926314575938,0.166431632240126,0.015960260667804718,0.09371535101347205,0.01377471001315539,-0.020839473586306854,-0.01900892597788726,0.013717849229069537,0.08612965739668484,0.00969845190693877,-0.0042036132034386125,0.09603435695223607,-0.0034140546879368253,0.013861271938176975,8.501050011315362e-05,0.016478442313253766,-0.08283045463208503,0.06424511511326852,0.06749414071442984,0.016435532046656105
Class Mean,7,0.2054114228671285,-0.2864820902592745,-0.008599773498848499,0.01739584996003592,0.08053809393696727,-0.2408050121466129,-0.2743712103639836,-0.03726037640719375,-0.03613479886980782,0.0022551169469193794,-0.07813654768833704,0.02224458732545046,-0.003776685523551585,-0.06835340603875675,0.07833149460819785,0.008906430474565338,-0.10045478184973454,-0.08790688844154412,0.05782772972104565,0.1421386434432365,0.1018430060906643,-0.005421213892157521,0.08173067479524379,0.0697037773576847,0.015032922087847966,-0.05279628671195561,0.06258650786094645,-0.024966612859211194,0.13803076859932378,0.03497436212602681,0.0030438356823012983,-0.08319217515736545,-0.01682529051354901,0.0241616415145097,-0.06983615588761152,-0.05304044465144105,0.05552238481262395,0.009110552953439585,-0.03641814366281009,-0.038702030967594434,0.02086443277230052,-0.01797692730822661,-0.012486566762178951,-0.015236408397863199,0.07537056162793125,-0.010353828936999642,0.021299317694766923,-0.04484548777435852,0.0037734470700953116,-0.006796235768774206
Class Mean,8,0.07929864082337443,0.32085538631585847,0.23650040508778608,-0.540185913415643,-0.17381684165620875,-0.15637828481563784,0.24693059470658116,0.08918431855222188,-0.18488824345679603,-0.04600082181530338,-0.016207961212907285,-0.225955036590721,-0.05535200832411971,-0.10414958729107131,-0.004309387013406073,0.09936552336377841,-0.15088528158401127,0.0413746536671342,-0.013596966685513854,-0.005081121538770216,-0.10791414072205453,-0.0594092239668623,0.05727981544129768,-0.04122667010613392,0.11782905407264452,-0.035201995505251826,0.06428035281354677,-0.02622557037661908,0.024134472438820675,-0.14480541800383764,-0.015110643176467991,-0.07766284784451191,-0.03614923452109486,-0.015426244934198117,0.01587129274316771,0.05782362155190348,-0.0286306241080771,0.005715820603446385,0.030006168123678595,-0.034275163728844406,-0.04386380994391822,-0.010846373234170084,-0.01716154360381518,0.026248720739145436,-0.05772778094978191,-0.038149926283897226,-0.031741638294199875,0.01616415439210702,-0.08981424238350884,0.012927170418515915
Class Mean,9,0.10565361336903388,-0.051802076509553686,0.2211662804965159,0.05501679140441238,-0.10613068555165751,0.21323072565086357,-0.01886587959721125,-0.010805250282068565,0.10752176485697296,0.17224844801462516,0.005584152274616723,0.19811037187793334,0.09049579321077501,0.07304750328746518,0.043148409334961266,0.09011247334179222,0.03933066273957105,-0.011163541849251425,0.06148287721057663,0.012639865236112857,0.08634169113738985,0.03785507742186617,-0.15410365900141024,0.030109204192920735,-0.02037564425091258,0.012386134215421387,-0.025058045444757475,0.0680639263300005,0.022968110972364397,0.004655555962809103,0.10239181355805321,0.013640006407437386,0.042479014734159666,-0.1488186776327608,0.011339516233859622,-0.006279271288472428,-0.022018204246056633,-0.0022267815928247014,0.022897684812667508,0.06039170686131957,0.044817282237636154,-0.00626036183520912,-0.04952822159868935,0.04089292614413857,-0.06644451216027472,-0.0234753240086607,0.008346027973985305,0.024192493573286154,-0.02115273444713063,-0.02908673354425671
